,Customer_ID,A_1,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9,A_10,A_11,A_12,A_13,A_14,class
0,15776156,1,22.08,11.46,2,4,4,1.585,0,0,0,1,2,100,1213,0
1,15739548,0,22.67,7.0,2,8,4,0.165,0,0,0,0,2,160,1,0
2,15662854,0,29.58,1.75,1,4,4,1.25,0,0,0,1,2,280,1,0
3,15687688,0,21.67,11.5,1,5,3,0.0,1,1,11,1,2,0,1,1
4,15715750,1,20.17,8.17,2,6,4,1.96,1,1,14,0,2,60,159,1
5,15571121,0,15.83,0.585,2,8,8,1.5,1,1,2,0,2,100,1,1
6,15726466,1,17.42,6.5,2,3,4,0.125,0,0,0,0,2,60,101,0
7,15660390,0,58.67,4.46,2,11,8,3.04,1,1,6,0,2,43,561,1
8,15663942,1,27.83,1.0,1,2,8,3.0,0,0,0,0,2,176,538,0
9,15638610,0,55.75,7.08,2,4,8,6.75,1,1,3,1,2,100,51,0
10,15644446,1,33.5,1.75,2,14,8,4.5,1,1,4,1,2,253,858,1
11,15585892,1,41.42,5.0,2,11,8,5.0,1,1,6,1,2,470,1,1
12,15609356,1,20.67,1.25,1,8,8,1.375,1,1,3,1,2,140,211,0
13,15803378,1,34.92,5.0,2,14,8,7.5,1,1,6,1,2,0,1001,1
14,15599440,1,58.58,2.71,2,8,4,2.415,0,0,0,1,2,320,1,0
15,15692408,1,48.08,6.04,2,4,4,0.04,0,0,0,0,2,0,2691,1
16,15683168,1,29.58,4.5,2,9,4,7.5,1,1,2,1,2,330,1,1
17,15790254,0,18.92,9.0,2,6,4,0.75,1,1,2,0,2,88,592,1
18,15767729,1,20.0,1.25,1,4,4,0.125,0,0,0,0,2,140,5,0
19,15768600,0,22.42,5.665,2,11,4,2.585,1,1,7,0,2,129,3258,1
20,15699839,0,28.17,0.585,2,6,4,0.04,0,0,0,0,2,260,1005,0
21,15786237,0,19.17,0.585,1,6,4,0.585,1,0,0,1,2,160,1,0
22,15694530,1,41.17,1.335,2,2,4,0.165,0,0,0,0,2,168,1,0
23,15796813,1,41.58,1.75,2,4,4,0.21,1,0,0,0,2,160,1,0
24,15605791,1,19.5,9.585,2,6,4,0.79,0,0,0,0,2,80,351,0
25,15714087,1,32.75,1.5,2,13,8,5.5,1,1,3,1,2,0,1,1
26,15711446,1,22.5,0.125,1,4,4,0.125,0,0,0,0,2,200,71,0
27,15588123,1,33.17,3.04,1,8,8,2.04,1,1,1,1,2,180,18028,1
