Sales,Digital_Ads_Spend,TV_Commercials_Spend,Physician_Outreach_Spend,Trade_Show_Investment,Region,Campaign_Type,Ad_Format,Launch_Year
,143k USD,307.63,177.99,97.91,East,Awareness,Soial Media,
505.7,287k USD,291.67,205.27,86.78,East,Acquisition,nan,2022.0
310.59,232k USD,110.26,85.1,57.46,East,Awareness,Soial Media,2019.0
392.84,199k USD,236.5,167.47,20.84,West,Awareness,Social Media,2019.0
379.46,89k USD,252.08,155.78,84.51,South,Acquisition,Social Media,2018.0
439.52,88k USD,259.53,213.22,57.13,Online,Seasonal,Social Media,2023.0
481.26,64k USD,332.07,229.34,115.5,Online,Awareness,nan,2018.0
262.61,266k USD,313.44,32.67,23.11,East,Seasonal,Video,2022.0
492.45,200k USD,343.16,178.28,96.03,Online,Acquisition,Bannr,2019.0
341.97,227k USD,405.95,41.4,142.39,nan,Seasonal,nan,2025.0
354.22,55k USD,425.19,150.75,42.67,Online,Seasonal,Banner,
429.85,292k USD,387.25,93.28,81.31,North,Acquisition,Soial Media,2019.0
374.87,258k USD,482.21,97.49,31.88,nan,Seasonal,Soial Media,2020.0
300.7,103k USD,107.29,107.65,101.34,nan,Awareness,nan,2022.0
370.57,95k USD,178.31,166.68,91.57,Online,Awareness,nan,2025.0
241.24,95k USD,103.03,103.49,72.96,West,Awareness,Bannr,2023.0
451.86,126k USD,358.99,191.19,87.78,East,Awareness,Video,2023.0
418.83,181k USD,459.21,119.0,136.55,South,Seasonal,nan,2025.0
239.12,157k USD,197.39,45.04,45.52,South,Awareness,Social Media,2023.0
472.07,122k USD,470.81,202.43,22.93,North,Seasonal,Bannr,
302.37,202k USD,124.11,92.87,132.02,South,Retention,Banner,2025.0
377.83,84k USD,473.77,125.21,95.03,South,Seasonal,Social Media,2022.0
454.82,123k USD,240.65,180.8,135.79,East,Awareness,Banner,2025.0
273.41,141k USD,140.57,103.14,97.6,East,Retention,Search,2025.0
327.33,164k USD,294.35,42.45,125.32,West,Acquisition,Banner,2020.0
376.89,246k USD,202.71,112.26,75.86,North,Seasonal,Social Media,2020.0
510.24,99k USD,213.95,237.78,117.48,South,Awareness,Search,2018.0
443.36,178k USD,222.92,171.18,138.7,West,Awareness,Social Media,2022.0
474.51,,421.21,177.73,94.38,North,Awareness,Soial Media,2022.0
363.58,61k USD,315.66,169.1,43.5,nan,Acquisition,Social Media,2020.0
339.92,201k USD,224.52,73.78,54.94,South,Retention,Search,2021.0
356.18,92k USD,344.13,122.03,45.82,South,Retention,Banner,2021.0
421.95,66k USD,386.46,195.21,52.09,East,Awareness,Soial Media,2018.0
310.45,287k USD,209.05,52.3,59.83,Online,Seasonal,Video,
397.0,291k USD,265.42,91.13,92.17,North,Awareness,Video,2021.0
,252k USD,148.75,90.79,96.44,South,Awareness,Video,2021.0
337.93,126k USD,172.46,125.04,75.44,North,Seasonal,Video,2021.0
510.0,74k USD,372.45,245.68,100.0,West,Awareness,Bannr,
238.35,221k USD,172.58,44.85,30.6,West,Acquisition,Video,2019.0
372.51,160k USD,310.07,144.11,31.41,Online,Awareness,Search,2018.0
255.94,80k USD,383.62,69.46,42.34,South,Acquisition,nan,2020.0
502.66,173k USD,142.75,243.55,87.35,East,Awareness,Video,2021.0
204.78,58k USD,326.92,54.93,47.82,South,Retention,Social Media,2023.0
372.89,277k USD,202.63,118.79,56.83,North,Seasonal,nan,2025.0
481.63,114k USD,485.17,192.33,72.04,nan,Retention,Video,2019.0
499.65,215k USD,293.42,185.0,125.54,West,Awareness,nan,
337.08,127k USD,422.4,123.0,21.8,North,Awareness,Banner,
371.52,180k USD,320.09,106.24,104.42,Online,Acquisition,Search,
373.99,186k USD,117.37,117.47,106.95,West,Awareness,Search,2021.0
314.99,96k USD,353.26,88.14,123.83,East,Awareness,nan,2025.0
413.94,292k USD,480.56,75.17,141.26,West,Awareness,Soial Media,2025.0
374.14,243k USD,340.64,136.27,22.62,nan,Retention,Bannr,2019.0
380.16,284k USD,427.68,89.08,39.99,South,Acquisition,Social Media,2018.0
416.1,273k USD,453.68,93.24,135.2,nan,Retention,nan,
444.24,199k USD,191.23,,79.61,nan,Acquisition,Search,2023.0
528.4,280k USD,184.82,243.08,93.4,South,Retention,Banner,2023.0
411.29,72k USD,344.39,162.8,106.19,West,Awareness,Video,2023.0
252.19,98k USD,264.41,46.94,108.28,Online,Retention,Search,
301.03,61k USD,435.94,46.63,141.13,South,Retention,Banner,2021.0
539.41,131k USD,460.01,239.31,149.6,South,Acquisition,Video,2019.0
359.82,147k USD,241.37,95.4,113.62,East,Acquisition,Bannr,
211.56,117k USD,194.75,50.25,57.34,West,Retention,Search,2023.0
488.76,257k USD,412.21,161.79,134.37,South,Acquisition,Search,2025.0
411.72,139k USD,209.92,167.2,26.4,Online,Acquisition,nan,
432.22,120k USD,429.05,172.67,50.04,North,Acquisition,nan,2025.0
386.01,185k USD,269.5,88.83,136.66,West,Seasonal,Banner,2022.0
238.65,85k USD,367.02,33.32,53.3,East,Acquisition,Soial Media,
488.79,250k USD,138.21,242.3,48.68,nan,Seasonal,nan,2022.0
337.8,68k USD,807.35,85.2,37.96,South,Seasonal,Social Media,2019.0
512.34,296k USD,280.71,178.73,131.68,Online,Acquisition,Bannr,
468.14,243k USD,334.64,185.46,85.01,West,Retention,Social Media,2021.0
366.63,99k USD,167.21,164.2,107.74,Online,Acquisition,Search,2021.0
267.09,51k USD,394.75,98.84,51.08,Online,Awareness,Social Media,2018.0
421.56,253k USD,445.12,89.64,118.55,nan,Retention,Video,2018.0
474.56,226k USD,186.7,161.49,118.8,East,Seasonal,Bannr,2023.0
482.75,232k USD,138.29,220.54,60.64,West,Seasonal,Social Media,2020.0
496.87,242k USD,109.46,238.28,73.39,South,Retention,Video,2025.0
240.27,68k USD,356.79,53.3,47.26,East,Retention,Banner,2018.0
278.51,139k USD,342.84,64.06,146.95,South,Acquisition,Social Media,2021.0
484.61,78k USD,318.68,237.84,103.93,North,Seasonal,Bannr,2025.0
,265k USD,192.78,192.04,141.49,Online,Awareness,Video,2020.0
491.06,205k USD,256.36,224.26,59.44,North,Acquisition,Social Media,2018.0
327.93,132k USD,337.79,74.58,121.65,Online,Retention,Banner,2019.0
381.57,65k USD,298.71,159.27,119.56,nan,Seasonal,Social Media,2022.0
489.41,127k USD,495.11,184.25,109.92,East,Retention,Video,2018.0
438.37,131k USD,154.58,179.62,145.53,South,Retention,Social Media,
435.39,232k USD,378.06,119.79,71.16,nan,Retention,Bannr,2018.0
262.09,209k USD,261.73,33.39,36.99,South,Acquisition,Search,
471.6,271k USD,271.28,158.24,107.32,East,Awareness,Video,2019.0
347.38,168k USD,387.04,85.68,114.81,West,Awareness,Video,2021.0
347.61,79k USD,376.97,129.06,94.76,North,Seasonal,Video,2023.0
569.54,228k USD,496.5,240.67,46.89,North,Retention,Video,2019.0
365.04,240k USD,151.36,117.79,85.58,South,Awareness,Social Media,2023.0
