Drug_ID,Drug_Type,Region,Marketing_Spend,Competitor_Count,Price_per_Unit,Doctor_Recommendation,Patient_Awareness_Score,Regulatory_Score,Monthly_Sales
DRG_1,Antiviral,South America,70990.0,6,98.21,52.77382954340153,0.7266558758115671,79.76384205520273,26355
DRG_2,Antihistamine,South America,63869.0,3,66.7,98.25765348212467,1.9909341993592566,76.95968970636572,15099
DRG_3,Antidepressant,South America,50894.0,8,81.42,34.47135211031187,3.4782234743304596,98.44073452889023,11910
DRG_4,Antihistamine,South America,40295.0,3,72.93,83.93263768838256,6.202348489611205,74.21065696738208,21903
DRG_5,Antihistamine,South America,60473.0,2,61.35,46.73541713384879,5.448010852760984,53.18007181888987,15912
DRG_6,Painkiller,North America,55902.0,3,10.07,78.46962766209283,1.2564349241231398,77.58439839032309,21606
DRG_7,Antidepressant,South America,63427.0,6,48.2,53.60088034365303,,92.05480853080508,7981
DRG_8,Antidepressant,North America,59527.0,2,69.1,66.2687810493232,2.387517710860241,99.842464214072,26962
DRG_9,Antidepressant,South America,65743.0,8,69.37,86.60894186609049,2.135428544903414,71.51715868445362,23361
DRG_10,Antihistamine,Asia,41971.0,1,40.45,84.33324519871073,4.111443364799871,66.01493712483713,12497
DRG_11,Antiviral,Europe,69760.0,7,94.46,89.31385468317602,7.040314525916569,95.33266484759994,12606
DRG_12,Antidepressant,North America,52963.0,2,20.9,24.769386027572722,2.1745293221723596,59.56210645380607,28361
DRG_13,Antihistamine,South America,81128.0,6,52.53,75.36404424317959,3.666788797029814,80.77144575164633,16313
DRG_14,Painkiller,Asia,39662.0,2,70.63,31.198990137741028,3.909174268411623,70.28572120904738,15829
DRG_15,Antiviral,Europe,76039.0,2,71.23,53.265485441472876,9.764565294354101,52.054118247777765,8669
DRG_16,Painkiller,North America,52968.0,8,66.62,63.88707320437508,9.546663568790688,67.36442371528489,18246
DRG_17,Antiviral,Europe,40228.0,2,31.15,52.21915877974646,8.001375827520759,63.26142612513373,18861
DRG_18,Antihistamine,Asia,,7,19.84,61.5689340642406,2.4165892081918514,84.30455769717435,23577
DRG_19,Antibiotic,North America,45194.0,3,327.04999999999995,99.72210470388953,0.6803731409166969,97.4395248845959,39012
DRG_20,Antiviral,Europe,56362.0,8,61.93,30.817385097028378,3.1690413772062476,63.40235936893189,12398
DRG_21,Painkiller,South America,57842.0,7,22.04,74.03648362691405,2.6679454943383085,90.57329695758409,22254
DRG_22,Antihistamine,North America,41394.0,8,71.99,51.680077310849214,5.059258001463939,52.767990846920476,25033
DRG_23,Antiviral,Europe,49634.0,7,48.24,30.6407839125863,,76.90605050199066,12144
DRG_24,Antibiotic,Asia,82134.0,6,68.44,32.698941069944766,8.583229388788581,53.52750318549473,25407
DRG_25,Antibiotic,Asia,75913.0,7,84.55,95.94184849964935,8.448640854105085,96.70164955653198,20187
DRG_26,Antidepressant,North America,56544.0,5,21.12,90.36811973694097,3.5967556122306776,88.31756402786951,25459
DRG_27,Antidepressant,Europe,50570.0,7,6.82,92.56335683320175,6.8723434346068295,82.89749556022961,19648
DRG_28,Painkiller,North America,51800.0,1,79.01,99.32262206619092,3.1283419752422006,91.19481908123322,7388
DRG_29,Antiviral,North America,59202.0,1,62.92,36.66523120068143,0.6090554323518271,82.37598977850816,19240
DRG_30,Antiviral,Europe,34658.0,9,71.47,48.43514698912494,7.015652656029423,98.44721985871456,25300
DRG_31,Antidepressant,Europe,,5,84.62,73.53752239398933,0.09827552569787845,85.69789739323858,15531
DRG_32,Antiviral,South America,24971.0,5,81.27,58.70420318885178,4.0918258745848854,96.23293047911234,18060
DRG_33,Antiviral,Europe,55988.0,3,96.29,53.47116267026668,,75.8565946005319,19119
DRG_34,Antibiotic,Asia,59707.0,5,55.91,48.62489994684744,6.933775385188524,55.85322064909313,5502
DRG_35,Antidepressant,North America,42752.0,3,51.41,67.50245055547617,7.662454727603789,76.40888607115086,28356
DRG_36,Antihistamine,North America,73609.0,9,43.18,66.04747429120656,3.040946359712838,56.34364140315466,15493
DRG_37,Antidepressant,Asia,31613.0,9,19.6,32.91662672513921,8.116270144448535,79.62467395882025,22528
DRG_38,Antihistamine,Europe,28034.0,6,59.4,57.73918700147512,2.9391676050493376,74.12465302638314,19566
DRG_39,Antibiotic,Asia,53366.0,1,31.32,64.27774209678799,4.463263599865613,81.12876989163908,26288
DRG_40,Painkiller,Asia,65706.0,7,92.52,65.62295509851124,,50.50234905274158,22030
DRG_41,Antiviral,South America,,7,60.4,36.80857543298814,6.9292022922478855,59.74202458276821,18825
DRG_42,Antibiotic,Asia,43116.0,4,61.32,79.38171138018294,9.873684723122,74.56652159560655,15532
DRG_43,Antiviral,North America,66180.0,8,38.72,22.01592758568557,2.2516102421593187,97.52517807945674,23989
DRG_44,Painkiller,Asia,49422.0,6,9.94,48.38654844345301,6.623179135395824,69.18045201775791,10632
DRG_45,Painkiller,North America,47410.0,4,8.02,82.41701188285069,6.096819082757774,71.21860130268173,23229
DRG_46,Antibiotic,North America,63254.0,4,45.22,65.11143368443219,9.150984544900298,85.73480445033111,14504
DRG_47,Painkiller,North America,59784.0,2,13.03,40.89299460086882,1.5636214164487505,80.1896378643059,26261
DRG_48,Antihistamine,Europe,26354.0,2,62.65,75.59624954744382,7.517981635869329,64.94630750491666,20806
DRG_49,Painkiller,South America,72148.0,4,88.69,65.39127553248588,,70.54081977837139,23220
DRG_50,Antiviral,North America,70701.0,5,88.88,83.69948875651097,2.746658697879054,60.88498994286162,20409
DRG_51,Antiviral,North America,40616.0,8,67.61,78.80201489518586,4.744349141471741,98.30107295651042,11238
DRG_52,Antiviral,Europe,55937.0,6,25.07,68.80863376289878,3.337765970697978,56.53171907786799,15696
DRG_53,Antiviral,North America,57410.0,4,86.98,59.05421402486512,5.793134027884609,68.59183922832096,23361
DRG_54,Antihistamine,Asia,53910.0,7,89.18,30.654570053401873,8.89000610814666,51.29194861100056,20833
DRG_55,Antidepressant,Asia,41745.0,8,23.68,40.9066414308307,5.6930498441220205,61.08897459667732,25904
DRG_56,Antibiotic,South America,39925.0,2,75.06,53.52795783336682,6.31722418326584,89.02355691900775,22016
DRG_57,Antiviral,North America,49616.0,7,32.22,67.9439429605111,5.187478471147094,60.05876161444397,15166
DRG_58,Painkiller,Europe,67590.0,2,81.25,61.09662841722439,0.5116550644547591,54.00317012644828,16019
DRG_59,Antiviral,Asia,58154.0,2,99.74,43.05476207676236,2.3285855687609427,73.72265899222617,20514
DRG_60,Painkiller,Europe,44440.0,8,7.85,20.517148623176844,4.920017294320828,50.49846173672592,8429
DRG_61,Painkiller,Europe,61575.0,2,90.25,59.69913775206511,3.1023528374470475,54.23830772131666,28367
DRG_62,Antiviral,Asia,7271.0,9,64.15,42.85007908497945,1.8176359776119422,90.38129347814876,22208
DRG_63,Antihistamine,Europe,67231.0,1,97.47,78.76866405684281,5.041328419184383,88.57366724298032,26135
DRG_64,Painkiller,Asia,23904.0,9,49.18,21.915701221638678,3.2280979344785035,95.7569410202448,12096
DRG_65,Painkiller,Europe,44563.0,1,85.5,66.78622490446327,2.5810764317341475,92.72577179553747,26222
DRG_66,Antiviral,Asia,33204.0,2,10.93,95.31793900048524,4.639854174403808,84.15877816199091,31157
DRG_67,Painkiller,North America,30579.0,6,36.85,33.95274136891996,1.3328425808217315,,13395
DRG_68,Painkiller,South America,67412.0,6,11.37,57.73195926004763,9.277457330754073,89.14243089933288,23857
DRG_69,Antiviral,Asia,42984.0,1,97.66,27.313759345371054,8.67702097919239,92.27554054202803,20005
DRG_70,Antiviral,Asia,55197.0,7,82.61,70.05455298090821,,89.95410728859773,12277
DRG_71,Antibiotic,South America,49296.0,8,85.99,64.04253444769805,1.062138275884562,75.4239517654013,22464
DRG_72,Antihistamine,Asia,57155.0,2,94.11,52.589241937026586,7.75877254469693,61.64509193247408,24168
DRG_73,Antihistamine,Asia,51152.0,8,13.08,61.7101617178993,8.07957328109019,92.26649878443634,16994
DRG_74,Painkiller,Europe,30755.0,9,41.63,91.72597267752082,7.677646177143377,86.35814048700692,25829
DRG_75,Antihistamine,South America,64944.0,6,11.75,35.70354418488536,1.1396588711924116,99.03805871944257,11666
DRG_76,Painkiller,North America,42593.0,5,25.03,21.80516093642778,6.439079570677647,57.78462988779665,12526
DRG_77,Antibiotic,Asia,26651.0,9,26.79,88.93319077592808,8.343247957493986,61.28322915260275,20682
DRG_78,Antiviral,South America,43578.0,9,49.57,66.16936659103251,5.773534012196677,60.589907494075135,20126
DRG_79,Antiviral,Europe,72511.0,1,30.51,91.2526764369474,6.46407375228089,89.62698838106684,16417
DRG_80,Antiviral,North America,62753.0,3,14.59,67.75561787305381,4.5836347942630615,59.34536482250591,24047
DRG_81,Antihistamine,South America,44770.0,9,20.91,84.8128871967762,5.287073198840526,53.3329914911653,22654
DRG_82,Antibiotic,North America,44761.0,2,18.99,54.373869068411835,0.34376858351725215,99.92804032928143,24290
DRG_83,Antihistamine,North America,45175.0,4,97.44,79.9887945030615,6.389630219732846,51.24086057225746,19384
DRG_84,Antihistamine,North America,81151.0,4,77.13,93.04331735118848,0.8144721289115919,91.76220300794328,23012
DRG_85,Antibiotic,Asia,55729.0,2,96.94,65.7698370977765,,68.26834207753264,17771
DRG_86,Antibiotic,Asia,56450.0,3,46.78,34.462812044990365,2.9265509766740783,92.08077298789075,30269
DRG_87,Antibiotic,Europe,65454.0,3,31.45,41.50380920241585,5.454279502117131,77.73102456055724,15937
DRG_88,Antibiotic,Europe,53581.0,1,80.84,35.89156615179246,,95.08156147431801,30526
DRG_89,Antiviral,South America,46114.0,6,35.99,39.74856220765864,6.916434019733182,96.30964932073132,20174
DRG_90,Antidepressant,Europe,47054.0,8,33.44,44.51323594808291,7.9501153692847035,50.4549090640388,13122
DRG_91,Antidepressant,North America,48925.0,3,27.09,64.41070294025508,1.633544497431565,53.77060879963941,26840
DRG_92,Antibiotic,North America,,5,17.32,67.03933035710662,1.0431308735188216,62.51793647854277,20629
DRG_93,Antidepressant,Asia,60914.0,1,29.36,54.11997977934889,1.4551548278735915,83.46577081817509,24255
DRG_94,Antidepressant,North America,50779.0,7,38.76,69.23366238566683,8.771275618985017,94.41360982557529,26119
DRG_95,Antibiotic,South America,60989.0,1,69.03,26.525994048909276,,72.99709756469814,21689
DRG_96,Antidepressant,North America,48789.0,9,10.94,27.023058964652797,4.672609960075026,80.34865581371326,17038
DRG_97,Antihistamine,North America,51179.0,8,25.0,33.746356828612676,,,24878
DRG_98,Painkiller,South America,,7,81.86,61.44619984322758,6.495560067569618,90.24834169408427,20003
DRG_99,Painkiller,Europe,63744.0,7,18.96,37.119574295865085,,98.3664055676735,23429
DRG_100,Antibiotic,Europe,,5,37.55,42.662752279406185,8.281858693234529,63.42994664572987,9231
DRG_101,Antiviral,South America,64970.0,5,87.14,52.025026893839524,6.2605470898080124,74.74129758002732,22234
DRG_102,Antibiotic,Asia,6556.0,5,19.72,84.94928992083038,0.7527871665167363,54.30580552531869,16807
DRG_103,Antiviral,North America,81325.0,1,12.86,21.10897087302881,1.1239702717601296,77.95683282314842,28266
DRG_104,Painkiller,South America,47906.0,8,51.03,71.95030561892979,0.49308987109824676,75.13917209233404,23115
DRG_105,Antibiotic,North America,66622.0,1,33.73,73.51012248325483,2.574792164924693,57.22182420775388,21199
DRG_106,Antihistamine,Asia,34401.0,4,58.52,83.89246242853092,1.3566146716037775,72.10331065590375,22431
DRG_107,Antidepressant,North America,59191.0,9,81.36,94.62023512482506,2.600480402524339,66.70523260432816,15007
DRG_108,Antiviral,South America,34198.0,9,18.03,21.611027915943186,3.850580557189617,76.09154376525947,28116
DRG_109,Antidepressant,North America,40643.0,5,60.17,32.30269644105729,9.429827840711356,79.28271677143996,29956
DRG_110,Antidepressant,Europe,78710.0,4,53.02,90.89370352447945,6.103760597816921,50.424778930360475,21964
DRG_111,Antibiotic,Asia,47139.0,3,18.69,56.68148497496123,8.349737856829623,88.05029914747777,27952
DRG_112,Antidepressant,Asia,53261.0,3,64.28,65.16725111467707,7.103515007123322,85.65071459308703,17154
DRG_113,Antihistamine,Asia,63051.0,5,31.0,73.0421762978518,1.1250313052663174,68.31431931032611,16014
DRG_114,Antidepressant,South America,57435.0,1,51.34,74.325328359651,7.359204063739488,52.646796778440915,20204
DRG_115,Antibiotic,Asia,52256.0,5,12.82,94.53923226532066,2.7509888155912443,87.74662698925252,22174
DRG_116,Antihistamine,Europe,55474.0,6,48.66,99.75595339293358,6.391078469947064,97.75875802390662,18030
DRG_117,Painkiller,South America,86051.0,7,34.11,77.61259687447522,3.4096197364298853,62.00757980110071,22688
DRG_118,Antidepressant,Europe,49135.0,9,83.13,42.977696736412064,9.976722632646592,66.1762306868519,21531
DRG_119,Antibiotic,North America,53016.0,3,10.41,90.38019218354749,2.6355147949677784,,15008
DRG_120,Painkiller,North America,65759.0,2,44.77,23.93767316326093,2.7913047077426967,78.84680616724198,22593
DRG_121,Painkiller,North America,66582.0,3,48.55,38.4864682299597,9.306722555623983,,24317
DRG_122,Antiviral,North America,,9,73.88,91.79085739709718,0.2464440463632267,67.80969717306897,20857
DRG_123,Antihistamine,Europe,,7,59.56,40.495321155148396,6.966889878731969,84.85065069671315,25763
DRG_124,Antidepressant,South America,32854.0,9,68.39,37.65208476973988,7.2532639073587815,,13912
DRG_125,Antibiotic,South America,74501.0,2,78.82,31.05002345121978,,69.32312821639675,22339
DRG_126,Antiviral,Asia,32804.0,5,86.91,88.72894061175332,9.744393106384754,71.0124800903771,14148
DRG_127,Antihistamine,Europe,54539.0,4,34.82,60.00466073528693,9.756019191566525,,14429
DRG_128,Antiviral,North America,38685.0,2,56.11,73.99145624433238,0.6527675756646389,50.29323639435807,16845
DRG_129,Antihistamine,Europe,49037.0,9,84.81,39.125310726002375,8.218393227529026,53.92549342268049,15289
DRG_130,Antihistamine,Asia,54931.0,9,99.0,80.64323368089731,6.463099336573813,,17260
DRG_131,Antidepressant,Asia,54820.0,6,89.5,80.80044359696788,6.473421343730912,53.893949454564535,18929
DRG_132,Antihistamine,Europe,56328.0,6,40.29,45.00784199266401,1.283499266146948,85.34017981052526,24185
DRG_133,Antiviral,Europe,74205.0,8,23.54,52.85461064082263,6.501871664456534,96.00190820545262,18394
DRG_134,Antihistamine,Europe,56803.0,6,257.45,36.77522219441607,9.824825806012479,63.53418021508656,36213
DRG_135,Antidepressant,South America,46337.0,1,75.46,98.12488186583235,9.11818569539447,68.52457185297571,25700
DRG_136,Antidepressant,North America,64461.0,4,51.79,71.64820616467293,4.391306608048505,78.44607029223582,15814
DRG_137,Antiviral,Europe,67842.0,7,50.9,94.76351045724124,0.3994797328609434,94.08544848192923,19706
DRG_138,Painkiller,Europe,31585.0,2,84.63,44.270843490330655,,97.095279363021,22232
DRG_139,Painkiller,Europe,58961.0,9,39.33,82.55127303975118,,86.97816240556341,20998
DRG_140,Antihistamine,Asia,60517.0,8,86.68,81.26869151077936,7.0149910146516605,54.3309880427347,25470
DRG_141,Antibiotic,Asia,45536.0,8,43.65,75.33245214932333,4.593436555939564,83.45770777674254,22395
DRG_142,Antihistamine,South America,70635.0,7,36.18,97.25111802134404,0.5510153515883109,70.5151860936331,15693
DRG_143,Antiviral,North America,47749.0,4,48.13,51.48442688850524,,73.53504997455308,30892
DRG_144,Antiviral,South America,51883.0,2,77.43,30.457385887180585,4.690249397178835,52.45741951725885,20971
DRG_145,Antiviral,North America,47403.0,3,16.97,73.73670873952486,9.28555532894136,59.55310696731791,19263
DRG_146,Antiviral,Asia,50233.0,6,23.66,78.3447840381765,6.410861035821594,89.52568037668239,24819
DRG_147,Antiviral,Asia,33555.0,5,95.39,66.00484587670518,3.116529166546489,72.69794165239298,21247
DRG_148,Antidepressant,Asia,28399.0,8,21.67,36.5454314506717,5.253182644507214,65.08311208155745,21996
DRG_149,Painkiller,South America,73917.0,6,58.93,60.35647533354843,0.6605530782216007,69.2009536982479,32460
DRG_150,Antiviral,Europe,37295.0,6,60.03,44.97517892553035,9.725682356497368,92.719975666284,18624
DRG_151,Antibiotic,Europe,35129.0,1,51.51,54.19732225333512,3.60059901930726,,18411
DRG_152,Antibiotic,Asia,17699.0,4,66.25,71.61748606757311,4.7786735491313586,63.61576985905414,20582
DRG_153,Antibiotic,Europe,40415.0,5,26.83,79.61717941526676,3.552839742369226,55.875092010618665,25357
DRG_154,Antibiotic,Europe,30153.0,3,57.5,38.57797527210745,6.825117301162002,62.59991108220358,12467
DRG_155,Antidepressant,South America,74630.0,9,40.36,52.42602885175627,6.62232158329593,96.03782255273669,10172
DRG_156,Antibiotic,North America,65147.0,1,67.86,41.53292567933033,7.153223105291357,79.07944189248776,17064
DRG_157,Antiviral,Asia,39677.0,6,18.42,35.89052910894953,2.6814322961192083,76.67401043723915,11830
