Batch_ID,Supplier_Rating,Delivery_Time_Days,Temperature_C,Humidity_%,Production_Cost_USD,Transport_Cost_USD,Demand_Units,Returned_Units,Stock_Level_Units,Route_Distance_KM
1,84.96714153011233,3.649643450051237,19.409519185105196,38.85918641766912,995.0462104420659,166.0752634756389,617.4814057585692,4,315.61117274318286,238.13933113169938
2,78.61735698828815,4.710962658568964,21.906389533182747,43.6906916626221,924.4524609436605,184.72502684731737,312.1019055246173,6,269.96037343783996,250.40422989231837
3,86.47688538100692,3.415160158000077,22.05405061613334,40.579398164257555,974.1437563819507,170.13094694774287,467.2204944122537,3,291.815461844546,259.86797925794616
4,95.23029856408026,4.384076940721919,23.417891037530218,44.52004181258862,1107.209759127655,205.520902347306,495.83399766186653,5,246.40632395133434,327.11725914339246
5,77.65846625276664,1.2127706660924287,17.89942491015752,47.85849689288811,1191.678498254577,259.85892657309563,501.5908658399631,4,342.65339335496554,210.35312931225457
6,77.6586304305082,5.426587414745877,23.777701821541992,58.371544863313844,1085.573099629536,161.44789214293976,518.0496056078081,5,403.4465178210563,250.53139915312678
7,95.79212815507391,5.002410950724449,13.886825105191674,46.78840961294298,1015.2584812707655,250.0410248884207,561.0439819809493,5,267.7706531416513,287.93235877969136
8,87.67434729152909,3.3658227378636187,20.11034634290857,34.14374293230407,1224.701765545664,160.91639638265562,496.4592560954649,1,361.1966174433063,214.29431166679592
9,75.30525614065049,6.31849133686481,20.535178472645367,61.4006784649516,953.0745290422717,157.6186393751558,463.1941717856319,8,256.9603898123986,253.65460174819404
10,85.42560043585965,6.875140275253116,23.899980478213717,41.629098663849604,1154.637900755036,240.92973091716067,459.24106553403044,2,273.4019271302881,299.10589376734634
11,75.36582307187538,1.7848802712620517,22.067892558030607,49.41279572895371,956.7905802473082,246.09681890038084,438.84841979616454,4,371.6845115918727,224.01113658732206
12,75.34270246429743,3.4745504428675718,17.78331083843114,54.46536506940711,1064.653443701634,242.57049683813273,578.7543324326865,3,294.0080481556978,241.3387578368387
13,82.41962271566034,3.4617153004254035,19.045020622548954,51.99610418402783,982.9656152814323,134.21012958909296,435.3471520523485,7,334.34918433682026,192.42104111012674
14,60.86719755342202,3.120193797782271,22.59604002864222,60.941795475214754,991.6221726020784,176.70245109639745,584.6771109008245,7,286.52695456002493,297.34592368676556
15,62.75082167486967,6.658949683863497,21.762797974406332,54.79003143392759,943.3920223806685,241.14942960016606,501.8999082259871,5,209.86321849909268,257.9276608641055
16,74.37712470759027,4.612347722454393,20.262627671092762,41.38690420302892,1201.728104677104,202.07709202819473,447.87451931438704,3,416.87059015385154,228.72979452253549
17,69.87168879665576,4.470970317378779,20.55749863146406,71.78562173991662,890.0610942837197,146.3153576901268,561.8407215744135,5,289.16134268826744,234.58348900246506
18,83.14247332595274,0.9922752711864931,24.088503991477868,51.943334633382335,888.9651621176937,222.9158969562721,427.25460752768817,4,307.8058772260587,249.54890597133127
19,70.91975924478788,6.2708360604184525,20.446922281392357,48.52659773378494,1318.1490348767663,164.25963705042648,563.8184040728213,4,263.3736140093934,266.7093466149453
20,65.87696298664709,2.521483210293055,21.73572626791278,59.63925423055571,1146.6771346981498,289.72624241961057,521.2726121191785,2,339.0065811956754,217.36374434361912
21,94.65648768921554,5.119865260532657,28.50980976424163,52.49450945930072,642.2329451960445,277.2420731209129,440.3675310908079,3,335.3293154378233,221.2954670204287
22,77.74223699513465,5.554753875916384,17.72895208934823,53.99228192939327,915.2111891184395,230.20487131777836,552.8634815334559,4,222.13726636943056,236.83357736986775
23,80.67528204687923,7.7213171916773025,16.444471805276024,74.92183998600687,728.2015993656919,268.0503352384887,554.6589725688639,6,308.55497936524375,257.5509943162155
24,65.75251813786544,2.382359201761776,24.35076899439582,47.248785717449536,857.3963959877117,203.23956750616907,615.7519605809957,8,343.8550501262979,330.29670693643806
25,74.55617275474818,-1.0390243116416507,19.96407081611769,46.82239105982604,529.222800064894,238.27187471875078,596.6147012409295,5,360.0218433336516,209.86313158965729
26,81.10922589709867,5.36769908950739,21.04528741677214,51.16578512012464,979.4515633459087,273.88601476510377,549.1274020726282,2,332.32244886189073,167.3511553024374
