timestamp,zone_id,machine_id,machine_type,operator_shift,temperature_C,vibration_level,sound_db,pressure_psi,runtime_minutes,power_consumed_kWh,machine_status
2025-06-01 00:00:00,Z3,M1000,CNC,Night,82.70016753209205,3.974734578109236,66.17272425512073,110.61741802657116,1769,1.54,OK
2025-06-01 00:01:00,Z1,M1001,Drill,Morning,82.22273689262374,1.8209023505217914,71.0534531948738,139.82383641946134,1318,3.82,OK
2025-06-01 00:02:00,Z3,M1002,Drill,Evening,26.032275309058257,4.224744035840037,63.953327040197394,177.72621589841768,5554,0.67,OK
2025-06-01 00:03:00,Z3,M1003,Motor,Evening,45.972497552350724,2.981129904746832,84.1574347650415,171.35942412768026,3379,1.15,OK
2025-06-01 00:04:00,Z1,M1004,Motor,Night,25.87669854266457,0.8822224375170826,59.064901877828795,160.26008162312905,2773,2.22,OK
2025-06-01 00:05:00,Z1,M1005,Motor,Morning,42.096865883474536,2.641855920167628,64.73334135502151,145.7279897133472,2990,2.94,OK
2025-06-01 00:06:00,Z3,M1006,Conveyor,Evening,50.25722683644253,5.896666603293807,70.90558027195861,137.08133094848458,3044,1.16,OK
2025-06-01 00:07:00,Z2,M1007,Motor,Night,66.15842422840416,4.288465539064962,79.51133922483854,146.191789888641,375,1.16,Warning
2025-06-01 00:08:00,Z3,M1008,Drill,Evening,52.20100148261189,2.43153739664026,70.82677269035479,169.54429160755302,3036,4.49,Fail
2025-06-01 00:09:00,Z3,M1009,Motor,Night,52.61894893577031,0.19625135849859765,72.07816469028407,175.25476530589404,660,3.63,OK
2025-06-01 00:10:00,Z3,M1010,Drill,Morning,62.726470247996446,1.7512632326540527,72.23577701381839,143.4553308769433,1403,3.44,Warning
2025-06-01 00:11:00,Z3,M1011,CNC,Morning,34.360355321882835,0.8902889939483076,76.38226097886597,213.40578273818983,740,2.99,OK
2025-06-01 00:12:00,Z1,M1012,Conveyor,Morning,47.42110270554204,0.23248799034975276,65.23590771783998,152.31009439442641,303,5.87,OK
2025-06-01 00:13:00,Z3,M1013,CNC,Morning,52.44665061273941,4.178386695247953,67.42258361561562,141.32611375162745,1085,0.77,OK
2025-06-01 00:14:00,Z2,M1014,CNC,Evening,56.963970170529834,3.0935810945702484,88.44738959036712,186.89173596523878,4881,1.49,OK
2025-06-01 00:15:00,Z1,M1015,Drill,Evening,61.154309853383175,5.692662672515912,78.2191927775761,99.04258675594312,3179,4.06,OK
2025-06-01 00:16:00,Z2,M1016,CNC,Morning,82.50974684599562,1.5035371518035565,81.08625737482276,162.0008423641339,1210,1.25,Warning
2025-06-01 00:17:00,Z2,M1017,Drill,Morning,73.62504241621642,2.9965785978613044,75.46422825164173,148.18004018416758,3034,3.74,OK
2025-06-01 00:18:00,Z2,M1018,Motor,Morning,48.460349632620975,0.9087384723796283,73.87775801405807,186.20460799678398,228,3.62,Warning
